Ngày,Nhiệt độ tối thiểu hàng ngày,Nhiệt độ tối đa hàng ngày,Mức gió ổn định tối đa,Gió giật tối đa,Tổng lượng mưa hàng ngày,Độ dày của tuyết,Áp suất,Biểu tượng,Mô tả
12/31/2015,            18°C,            21°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/1/2016,            17°C,            25°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/2/2016,            17°C,            27°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/3/2016,            19°C,            27°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/4/2016,            20°C,            26°C,            21 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/5/2016,            20°C,            27°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/6/2016,            20°C,            23°C,            13 Km/h,            N/A,"            2,5mm",            N/A,            N/A,            ,            Mưa
1/7/2016,            19°C,            23°C,            9 Km/h,            N/A,            3mm,            N/A,            N/A,            ,            Mưa
1/8/2016,            20°C,            25°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/9/2016,            20°C,            25°C,            22 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/10/2016,            19°C,            21°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/11/2016,            19°C,            21°C,            16 Km/h,            N/A,"            2,2mm",            N/A,            N/A,            ,            Mưa
1/12/2016,            18°C,            25°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/13/2016,            18°C,            25°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/14/2016,            19°C,            25°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/15/2016,            18°C,            26°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/16/2016,            17°C,            26°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/17/2016,            18°C,            26°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/18/2016,            19°C,            26°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/19/2016,            20°C,            24°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/20/2016,            20°C,            28°C,            16 Km/h,            N/A,"            4,8mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/21/2016,            21°C,            28°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/22/2016,            18°C,            25°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/23/2016,            17°C,            27°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/24/2016,            18°C,            27°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/25/2016,            19°C,            26°C,            15 Km/h,            N/A,            2mm,            N/A,            N/A,            ,            Mưa
1/26/2016,            20°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/27/2016,            20°C,            27°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/28/2016,            20°C,            23°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/29/2016,            19°C,            26°C,            15 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Mưa
1/30/2016,            20°C,            27°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/31/2016,            21°C,            26°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/1/2016,            20°C,            27°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/2/2016,            21°C,            27°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/3/2016,            22°C,            27°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/4/2016,            22°C,            29°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/5/2016,            22°C,            29°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/6/2016,            21°C,            29°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/7/2016,            22°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/8/2016,            23°C,            28°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/9/2016,            22°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/10/2016,            20°C,            27°C,            16 Km/h,            N/A,"            1,7mm",            N/A,            N/A,            ,            Mưa
2/11/2016,            21°C,            27°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/12/2016,            20°C,            27°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/13/2016,            21°C,            27°C,            21 Km/h,            N/A,"            2,2mm",            N/A,            N/A,            ,            Mưa
2/14/2016,            22°C,            29°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/15/2016,            23°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/16/2016,            20°C,            27°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/17/2016,            21°C,            29°C,            21 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/18/2016,            20°C,            30°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/19/2016,            21°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/20/2016,            23°C,            28°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/21/2016,            23°C,            28°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/22/2016,            23°C,            28°C,            26 Km/h,            41 Km/h,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/23/2016,            20°C,            25°C,            22 Km/h,            N/A,            3mm,            N/A,            N/A,            ,            Mưa
2/24/2016,            20°C,            23°C,            24 Km/h,            N/A,            37mm,            N/A,            N/A,            ,            Mưa
2/25/2016,            21°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/26/2016,            22°C,            29°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/27/2016,            23°C,            29°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/28/2016,            23°C,            30°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/29/2016,            23°C,            30°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/1/2016,            23°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/2/2016,            23°C,            30°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/3/2016,            19°C,            28°C,            24 Km/h,            N/A,            5mm,            N/A,            N/A,            ,            Mưa
3/4/2016,            19°C,            21°C,            13 Km/h,            N/A,"            26,9mm",            N/A,            N/A,            ,            Mưa
3/5/2016,            19°C,            22°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/6/2016,            20°C,            23°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/7/2016,            18°C,            27°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/8/2016,            18°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/9/2016,            19°C,            27°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/10/2016,            21°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/11/2016,            23°C,            28°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/12/2016,            22°C,            28°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/13/2016,            21°C,            31°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/14/2016,            22°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/15/2016,            22°C,            28°C,            16 Km/h,            N/A,"            8,1mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/16/2016,            22°C,            29°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/17/2016,            24°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/18/2016,            23°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/19/2016,            24°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/20/2016,            24°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
3/21/2016,            24°C,            30°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/22/2016,            23°C,            30°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/23/2016,            23°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/24/2016,            23°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/25/2016,            24°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/26/2016,            24°C,            32°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/27/2016,            23°C,            34°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/28/2016,            24°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/29/2016,            23°C,            33°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
3/30/2016,            24°C,            31°C,            24 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/31/2016,            22°C,            30°C,            22 Km/h,            N/A,"            4,3mm",            N/A,            N/A,            ,            Mưa
4/1/2016,            24°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/2/2016,            25°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/3/2016,            25°C,            31°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
4/4/2016,            26°C,            34°C,            21 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/5/2016,            26°C,            40°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/6/2016,            23°C,            39°C,            50 Km/h,            68 Km/h,            0mm,            N/A,            N/A,            ,            Mưa
4/7/2016,            23°C,            27°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
4/8/2016,            23°C,            26°C,            11 Km/h,            N/A,"            3,5mm",            N/A,            N/A,            ,            Mưa
4/9/2016,            24°C,            29°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/10/2016,            23°C,            30°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
4/11/2016,            23°C,            29°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
4/12/2016,            21°C,            28°C,            N/A,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
4/13/2016,            23°C,            29°C,            N/A,            N/A,"            3,3mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/14/2016,            22°C,            28°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/15/2016,            23°C,            29°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/16/2016,            23°C,            31°C,            21 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Giông bãoMưa
4/17/2016,            24°C,            32°C,            16 Km/h,            N/A,"            3,8mm",            N/A,            N/A,            ,            Giông bãoMưa
4/18/2016,            24°C,            32°C,            16 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/19/2016,            25°C,            34°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
4/20/2016,            25°C,            35°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
4/21/2016,            23°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/22/2016,            24°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
4/23/2016,            24°C,            33°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
4/24/2016,            25°C,            32°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/25/2016,            25°C,            33°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
4/26/2016,            23°C,            34°C,            31 Km/h,            42 Km/h,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
4/27/2016,            24°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/28/2016,            25°C,            32°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/29/2016,            23°C,            32°C,            N/A,            N/A,"            0,2mm",            N/A,            N/A,            ,            Giông bãoMưa
4/30/2016,            22°C,            33°C,            26 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Giông bãoMưa
5/1/2016,            22°C,            34°C,            37 Km/h,            55 Km/h,"            9,9mm",            N/A,            N/A,            ,            Giông bãoMưa
5/2/2016,            22°C,            31°C,            39 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/3/2016,            22°C,            32°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/4/2016,            23°C,            32°C,            22 Km/h,            37 Km/h,            0mm,            N/A,            N/A,            ,            Giông bão
5/5/2016,            24°C,            32°C,            26 Km/h,            37 Km/h,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/6/2016,            24°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
5/7/2016,            23°C,            33°C,            22 Km/h,            N/A,"            7,8mm",            N/A,            N/A,            ,            Giông bãoMưa
5/8/2016,            23°C,            32°C,            22 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Giông bãoMưa
5/9/2016,            23°C,            33°C,            N/A,            N/A,"            0,7mm",            N/A,            N/A,            ,            Giông bãoMưa
5/10/2016,            25°C,            33°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/11/2016,            24°C,            33°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/12/2016,            24°C,            32°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
5/13/2016,            25°C,            35°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/14/2016,            26°C,            36°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/15/2016,            25°C,            36°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/16/2016,            26°C,            36°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/17/2016,            27°C,            36°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/18/2016,            27°C,            39°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/19/2016,            27°C,            39°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/20/2016,            28°C,            39°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/21/2016,            27°C,            39°C,            22 Km/h,            41 Km/h,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/22/2016,            27°C,            38°C,            22 Km/h,            44 Km/h,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/23/2016,            24°C,            37°C,            29 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/24/2016,            25°C,            36°C,            24 Km/h,            N/A,"            23,6mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/25/2016,            26°C,            37°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/26/2016,            26°C,            38°C,            26 Km/h,            44 Km/h,            0mm,            N/A,            N/A,            ,            Giông bão
5/27/2016,            25°C,            38°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/28/2016,            25°C,            37°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/29/2016,            24°C,            35°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/30/2016,            25°C,            33°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/31/2016,            25°C,            33°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
6/1/2016,            25°C,            34°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/2/2016,            25°C,            33°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
6/3/2016,            25°C,            33°C,            21 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            Giông bãoMưa
6/4/2016,            24°C,            33°C,            N/A,            N/A,"            0,2mm",            N/A,            N/A,            ,            Giông bãoMưa
6/5/2016,            25°C,            33°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
6/6/2016,            25°C,            34°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
6/7/2016,            26°C,            35°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
6/8/2016,            26°C,            38°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
6/9/2016,            27°C,            39°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/10/2016,            25°C,            39°C,            22 Km/h,            N/A,"            5,5mm",            N/A,            N/A,            ,            Giông bãoMưa
